#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ERBB4	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.428
ERBB4	UBE3A	0	0	0	0	0	0	0	0	0	0	0.505
ERBB4	GRIN1	0	0	0	0	0	0	0	0	0	0	0.672
ERBB4	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.753
ERBB4	DLG3	0	0	0	0	0	0	0	0	0	0	0.758
ERBB4	PTEN	0	0	0	0	0	0	0	0	0	0	0.793
ERBB4	DLG1	0	0	0	0	0	0	0	0	0	0	0.797
ERBB4	DLG2	0	0	0	0	0	0	0	0	0	0	0.892
ERBB4	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
SHANK2	DLG1	0	0	0	0	0	0	0	0	0	0	0.416
SHANK2	GRIN1	0	0	0	0	0	0	0	0	0	0	0.475
SHANK2	UBE3A	0	0	0	0	0	0	0	0	0	0	0.486
SHANK2	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.628
SHANK2	DLG3	0	0	0	0	0	0	0	0	0	0	0.744
SHANK2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.75
SHANK2	HOMER3	0	0	0	0	0	0	0	0	0	0	0.799
SHANK2	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.809
SHANK2	DLG2	0	0	0	0	0	0	0	0	0	0	0.811
SHANK2	NRXN1	0	0	0	0	0	0	0	0	0	0	0.914
SHANK2	NLGN1	0	0	0	0	0	0	0	0	0	0	0.914
SHANK2	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.917
SHANK2	NLGN3	0	0	0	0	0	0	0	0	0	0	0.958
SHANK2	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.964
SHANK2	CTTN	0	0	0	0	0	0	0	0	0	0	0.969
SHANK2	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.969
SHANK2	SHANK3	0	0	0	0	0	0	0	0	0	0	0.98
SHANK2	DLG4	0	0	0	0	0	0	0	0	0	0	0.993
DLG1	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.414
DLG1	NLGN3	0	0	0	0	0	0	0	0	0	0	0.436
DLG1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.472
DLG1	NBEA	0	0	0	0	0	0	0	0	0	0	0.481
DLG1	NLGN1	0	0	0	0	0	0	0	0	0	0	0.483
DLG1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.587
DLG1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.714
DLG1	GRIN1	0	0	0	0	0	0	0	0	0	0	0.878
DLG1	GRIK2	0	0	0	0	0	0	0	0	0	0	0.924
DLG1	DLG4	0	0	0	0	0	0	0	0	0	0	0.956
DLG1	DLG2	0	0	0	0	0	0	0	0	0	0	0.962
DLG1	UBE3A	0	0	0	0	0	0	0	0	0	0	0.974
DLG1	DLG3	0	0	0	0	0	0	0	0	0	0	0.974
DLG1	CASK	0	0	0	0	0	0	0	0	0	0	0.98
DLG1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.992
DLG1	PTEN	0	0	0	0	0	0	0	0	0	0	0.996
DLG1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.999
NLGN3	GRIN1	0	0	0	0	0	0	0	0	0	0	0.446
NLGN3	GRIA1	0	0	0	0	0	0	0	0	0	0	0.536
NLGN3	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.573
NLGN3	PTEN	0	0	0	0	0	0	0	0	0	0	0.591
